Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0.665, 0.00266142, 0.0123363, 0.423578, 0.0123363, 0.0570272, 0.0976867, 4
0.67, 0.00266721, 0.0123633, 0.4245, 0.0123633, 0.0492174, 0.109086, 5
0.675, 0.00267312, 0.0123844, 0.425441, 0.0123844, 0.0513192, 0.109537, 6
0.68, 0.00267984, 0.0124093, 0.42651, 0.0124093, 0.049094, 0.0981608, 4
0.685, 0.00268514, 0.0124448, 0.427353, 0.0124448, 0.0497898, 0.100587, 4
0.69, 0.00269114, 0.0124675, 0.428308, 0.0124675, 0.0483168, 0.0944491, 5
0.695, 0.00269676, 0.0126027, 0.429203, 0.0126027, 0.0483868, 0.103517, 5
0.7, 0.00270307, 0.0125206, 0.430207, 0.0125206, 0.0495327, 0.0961627, 4
0.705, 0.00270855, 0.012555, 0.43108, 0.012555, 0.049497, 0.0975575, 4
0.71, 0.00271453, 0.0125926, 0.432031, 0.0125926, 0.0515275, 0.106001, 5
0.715, 0.00272049, 0.0125966, 0.43298, 0.0125966, 0.0518563, 0.0954718, 4
0.72, 0.00272596, 0.0126352, 0.433849, 0.0126352, 0.0544621, 0.0790876, 4
0.725, 0.00273168, 0.0126675, 0.434761, 0.0126675, 0.0498255, 0.0968918, 5
0.73, 0.00273803, 0.0126646, 0.435771, 0.0126646, 0.0521821, 0.087162, 4
0.735, 0.00274301, 0.0127136, 0.436564, 0.0127136, 0.0504657, 0.108511, 6
0.74, 0.00274905, 0.012743, 0.437525, 0.012743, 0.0504864, 0.0709842, 3
0.745, 0.00275441, 0.0127761, 0.438377, 0.0127761, 0.0524361, 0.0595246, 3
0.75, 0.00276055, 0.0127947, 0.439354, 0.0127947, 0.0495247, 0.103388, 6
0.755, 0.00276613, 0.0128116, 0.440243, 0.0128116, 0.0495245, 0.0985155, 5
0.76, 0.00277194, 0.0128127, 0.441168, 0.0128127, 0.0506757, 0.0796653, 3
0.765, 0.0027772, 0.0128759, 0.442005, 0.0128759, 0.049636, 0.109889, 6
0.77, 0.00278343, 0.0128919, 0.442997, 0.0128919, 0.0547521, 0.110076, 3
0.775, 0.00278824, 0.0129152, 0.443763, 0.0129152, 0.0622144, 0.173805, 6
0.78, 0.00279426, 0.0129454, 0.44472, 0.0129454, 0.05497, 0.0931205, 3
0.785, 0.00279994, 0.0129796, 0.445624, 0.0129796, 0.0504546, 0.14428, 6
0.79, 0.0028051, 0.0129773, 0.446446, 0.0129773, 0.0536675, 0.115782, 4
0.795, 0.00281021, 0.0130329, 0.447258, 0.0130329, 0.051373, 0.15324, 5
0.8, 0.00281662, 0.0130057, 0.448279, 0.0130057, 0.0656522, 0.0948108, 3
0.805, 0.00282175, 0.0130407, 0.449095, 0.0130407, 0.0530349, 0.119488, 6
0.81, 0.00282662, 0.013134, 0.44987, 0.013134, 0.0631887, 0.0927269, 3
0.815, 0.00283245, 0.013125, 0.450798, 0.013125, 0.0508565, 0.0654529, 3
0.82, 0.0028378, 0.0131488, 0.45165, 0.0131488, 0.0585753, 0.0875086, 4
0.825, 0.00284325, 0.0131699, 0.452517, 0.0131699, 0.0516477, 0.100677, 5
0.83, 0.00284893, 0.0131882, 0.453421, 0.0131882, 0.0579378, 0.111319, 5
0.835, 0.00285438, 0.0132364, 0.454289, 0.0132364, 0.0577252, 0.0716613, 3
0.84, 0.00285942, 0.0132449, 0.455091, 0.0132449, 0.0494614, 0.0554377, 3
0.845, 0.00286499, 0.0132532, 0.455977, 0.0132532, 0.0509023, 0.108138, 5
0.85, 0.00287009, 0.0133217, 0.456789, 0.0133217, 0.0520114, 0.122101, 6
0.855, 0.00287605, 0.0133119, 0.457738, 0.0133119, 0.0502056, 0.074605, 4
0.86, 0.0028808, 0.013335, 0.458493, 0.013335, 0.0538231, 0.0675516, 3
0.865, 0.00288603, 0.0133651, 0.459325, 0.0133651, 0.0573801, 0.0877744, 4
0.87, 0.00289145, 0.013375, 0.460189, 0.013375, 0.0498146, 0.104221, 6
0.875, 0.00289668, 0.0134017, 0.46102, 0.0134017, 0.0504331, 0.106585, 5
0.88, 0.00290185, 0.0134268, 0.461844, 0.0134268, 0.0554463, 0.103428, 5
0.885, 0.00290788, 0.0134774, 0.462803, 0.0134774, 0.0536377, 0.117603, 6
0.89, 0.00291251, 0.0134354, 0.46354, 0.0134354, 0.0504207, 0.102852, 4
0.895, 0.00291709, 0.0135113, 0.464269, 0.0135113, 0.0490803, 0.11215, 6
0.9, 0.00292358, 0.0135143, 0.465302, 0.0135143, 0.0520739, 0.107132, 4
0.905, 0.00292748, 0.013546, 0.465923, 0.013546, 0.0517442, 0.125184, 5
0.91, 0.00293343, 0.0135709, 0.466871, 0.0135709, 0.0500809, 0.113895, 6
