Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0.91, 0.00293301, 0.0135573, 0.466802, 0.0135573, 0.052319, 0.114512, 6
0.915, 0.00293817, 0.0136052, 0.467624, 0.0136052, 0.0522316, 0.0861516, 4
0.92, 0.00294314, 0.0136233, 0.468416, 0.0136233, 0.0533041, 0.0817898, 5
0.925, 0.00294811, 0.0136202, 0.469207, 0.0136202, 0.0512299, 0.111551, 6
0.93, 0.0029537, 0.0136735, 0.470096, 0.0136735, 0.0517314, 0.0652086, 3
0.935, 0.00295847, 0.0136837, 0.470856, 0.0136837, 0.0539126, 0.0828616, 5
0.94, 0.00296374, 0.0137072, 0.471693, 0.0137072, 0.0513852, 0.116969, 6
0.945, 0.00296845, 0.0137133, 0.472444, 0.0137133, 0.0490739, 0.123702, 7
0.95, 0.00297325, 0.0137722, 0.473208, 0.0137722, 0.0490175, 0.0907484, 5
0.955, 0.00297867, 0.013769, 0.47407, 0.013769, 0.050297, 0.103872, 3
0.96, 0.00298374, 0.0138011, 0.474877, 0.0138011, 0.0463734, 0.105963, 5
0.965, 0.00298813, 0.0138225, 0.475575, 0.0138225, 0.0519034, 0.106937, 6
0.97, 0.0029934, 0.0138398, 0.476415, 0.0138398, 0.0534771, 0.117601, 6
0.975, 0.00299877, 0.0138636, 0.477269, 0.0138636, 0.0491305, 0.105895, 6
0.98, 0.003003, 0.0138799, 0.477942, 0.0138799, 0.0566846, 0.104315, 6
0.985, 0.00300817, 0.0139081, 0.478765, 0.0139081, 0.0485381, 0.1096, 5
0.99, 0.00301332, 0.0139426, 0.479585, 0.0139426, 0.0509223, 0.0936935, 5
0.995, 0.00301804, 0.0139148, 0.480335, 0.0139148, 0.0525748, 0.120069, 5
1, 0.00302316, 0.0140109, 0.481151, 0.0140109, 0.0494908, 0.108601, 6
1.005, 0.0030275, 0.0139977, 0.481841, 0.0139977, 0.0521178, 0.129982, 5
1.01, 0.00303243, 0.0140088, 0.482626, 0.0140088, 0.0485256, 0.1145, 6
1.015, 0.00303726, 0.0140557, 0.483395, 0.0140557, 0.0534816, 0.097173, 4
1.02, 0.00304187, 0.0140674, 0.484128, 0.0140674, 0.0539648, 0.105349, 5
1.025, 0.00304687, 0.0140682, 0.484924, 0.0140682, 0.0531236, 0.138992, 6
1.03, 0.00305194, 0.0140907, 0.485732, 0.0140907, 0.0499053, 0.0758838, 3
